              user_id               | hunt_count | avg_duration_minutes 
 \xb2ead03cdc844f9381f465b9a9773de5 |         32 |                88.72
 \x4e4d789ddbb844eb83819ba76ab77b01 |         32 |                95.16
 \x537f01b9dfc54aea9652b86d312830d1 |         32 |               101.97
 \x7a6eda899c0d444f84de001479f034f7 |         32 |               124.06
 \x481e660df51e4f678f12337889cd15d0 |         31 |                29.48
 \xa0d33251768746e5b19ca9ebd791d91a |         31 |                32.84
 \x9d6881852cf2402a9b1a9cc7293306ee |         31 |                40.90
 \x1e1438960c8b45bfb910d3f7cd9d5f09 |         31 |                41.61
 \x34124fcb537f44a899ec9cb50075f22f |         31 |                43.45
 \xe3e09c3d6abc44d4b4be1fe4313a200f |         31 |                49.35
 \x2bd379ceee97411888662446506a15a1 |         31 |                49.68
 \x14c0cfedcf564c288bcd97ed862f11f9 |         31 |                51.94
 \x994b88ceb1be4b5ebedbf8fe503fffca |         31 |                52.39
 \x7b28b6c5d4404f539f34d926b3a4472c |         31 |                55.26
 \x99a80db345454159abb97f2468270013 |         31 |                56.19
 \x3225111826f64ff7878e9dcd2877975e |         31 |                56.87
 \x4c21978a79b6420d8f5ab88c22f627b2 |         31 |                58.52
 \x99d614b547214c7a9d27fdd619479b9b |         31 |                58.55
 \xb17a63c78bfe4c41b38fb8023b0d4ff0 |         31 |                58.61
 \xa652f591699c408fbafe18cd541815c7 |         31 |                58.87
 \x1cd93214b0e540bb932d73f717489442 |         31 |                60.42
 \x4517994b3cd047aa8fd9882e3499a31d |         31 |                61.45
 \x500a5d1772a44e8c90dcb3436028a4b9 |         31 |                61.55
 \x2032120f24024983804107fb05c0b862 |         31 |                61.55
 \x7a292d33e6a74ce0ab3cf610d26048e4 |         31 |                63.16
 \x11629f9f5730417a9d1e6d0f3a09193e |         31 |                63.48
 \xa117ffc792ef4c85b9a6c5c8bbaa76f9 |         31 |                65.55
 \x062d94b7f0614bdc8f634ce283be0287 |         31 |                67.00
 \xc01b73724d7f4fff96159f28cd4db046 |         31 |                67.10
 \xac209d9fc96f4bfe8488c19477f173cb |         31 |                67.45
 \x42a40b96465a4f09be21a8beed7cfae2 |         31 |                69.48
 \xb81911ffb79c4e16a16f5a8917952bdb |         31 |                70.45
 \x73a6b6733aa6464c9c7d4798927a27d8 |         31 |                71.19
 \x97e913f673614e93a794118433797f56 |         31 |                71.23
 \xe99040d3f80f4879a8eb04893a28d8a4 |         31 |                71.65
 \xb4dcc8d8b1774869bafe66b0295ef5ab |         31 |                71.81
 \x0e6725e76c644b60975636691a404d86 |         31 |                72.52
 \xeaf1c8631e984cea8eb96764340caa1a |         31 |                73.16
 \xc784357e0a2c4989995ce0a190ce8bcf |         31 |                78.84
 \xc62edc012d8d4d51a4361575b540823f |         31 |                79.84
 \xf469323e565541a3b0b91412cefcacd0 |         31 |                79.97
 \xfa41318b3408495fbc81b303f099be89 |         31 |                81.87
 \x86fc89fe12134e439d44dee0aafbd811 |         31 |                82.13
 \x118fe1e662aa41de993ad8e4a92a14a1 |         31 |                83.45
 \xfca0c5deb5544d0a928c785807b31561 |         31 |                84.58
 \x94168e873d2e4291b05368cc01da1d9f |         31 |                93.97
 \x6bf5a8fa56004444ae62d4c60948110a |         31 |                95.06
 \x6c40592326b244d2ae278cd944489053 |         31 |               102.61
 \x63d73ad330e843b8853e5a25435d2dbf |         31 |               102.97
 \x3fc7d9f034d14608970f1d7a776000b7 |         31 |               119.61
 \xafad4b5e5585433fa04340ca3965a2d2 |         31 |               124.29
 \xfbbc537777d24af8a63e64fa8faa96cb |         31 |               129.39
 \x6e1abfbb270d48b1b7d13b10b634af11 |         31 |               133.97
 \xccd595f3717e4a608dc3102105e42043 |         31 |               192.55
 \x41555e45f9b1424a9897c9b561b76322 |         30 |                10.10
 \xf7d3a7ab4d7b43a4b43d2d5703e3799b |         30 |                24.87
 \xe7dd869d49df490da9afa1d07e74951f |         30 |                25.70
 \xa1226296501347a981fe7ad49f377d9c |         30 |                31.63
 \xe5725066d7bf4fb190283d23d06348bc |         30 |                38.10
 \x9a838b453f744af38177ed2b8917b792 |         30 |                38.80
 \x1014a462a0bd4a15a383c34ea9735d97 |         30 |                39.87
 \x11684ebd80da4da191da1a53020da243 |         30 |                41.33
 \x9bd33502bc134bd4aefea076638621ac |         30 |                45.87
 \x88428863a99f4ed4a997cb94c3d7790b |         30 |                46.23
 \x77dd5176f37a4e92b348d2965bab21cb |         30 |                47.17
 \x124ef2d99ac441e888ad12f81d472804 |         30 |                50.70
 \x22c0ef3697724edd9338142b819102e8 |         30 |                51.40
 \xb10ff1f9861040c7864c2a5e7b3273bf |         30 |                53.07
 \xe593dbca8b7349b08fbb77d980db2f49 |         30 |                53.30
 \x97c2435dee0e4111bee8f7655031cd21 |         30 |                53.50
 \x52528ec7d0aa44528a04fdfa5d44b2cb |         30 |                53.60
 \xddc95817453f49d899c960eb3bf78aa9 |         30 |                54.57
 \xe82e2aa8668640699eec8e08b3db2cc0 |         30 |                55.57
 \xe6fdb9b688cf4332bff10594fc32a396 |         30 |                56.20
 \x98cf210b5fa1452fbcc4de774d3621fc |         30 |                56.37
 \x3b0d67fdb7eb481c9ab744e3c6f3610e |         30 |                56.53
 \x2fc3778ecd5c4234968637e961176c37 |         30 |                56.83
 \xe572f7868ee14df2870e8dc36fc04427 |         30 |                58.70
 \x3c07709f517e436ea92a6598d22bf44e |         30 |                59.53
 \x8c37616d0b144efd8fd216d5f07de9c0 |         30 |                60.90
 \x5676df3bc04e411999194c4def0ead7a |         30 |                61.33
 \x9d60861d17a14ac781040d1b630b985e |         30 |                62.70
 \xade6832edb874856b996db6e59dd3fcd |         30 |                62.90
 \x8a98d2cd548146f89e385979ad614ac8 |         30 |                62.97
 \x55745da4cd9740048a9963659ab9197b |         30 |                63.07
 \x36a19fd45ddd489ebb11f3cb6a033fca |         30 |                63.60
 \x634624ab12414f198c66285f70550d31 |         30 |                64.17
 \x4aeeb7e761ad4f038af8fef44cd48b5d |         30 |                64.77
 \xd84ff4d34b3345a1acd845caad089a26 |         30 |                64.90
 \x61a74a24bae24f3290b70ba188b21c77 |         30 |                65.07
 \x893426a727db4e7389758f9206fec7c8 |         30 |                65.83
 \xfa51a9e9054e4f768ee8e2f6a80ddace |         30 |                66.20
 \x87eb141fb98045ff8e9542ec527908a5 |         30 |                66.63
 \x1b06c49f9daa4a66afbb919633fb1764 |         30 |                67.17
 \xd2705b7442d445198018452b7565cf1b |         30 |                67.27
 \xabcfba0ec7024a2ebc34ade41615f5b0 |         30 |                67.77
 \xc4fac079507d4c0f886084827e3c2460 |         30 |                67.93
 \xb22e62dc8bb14fcdb4e4f61440b60f36 |         30 |                67.97
 \x6069701e123e43838f95d6afea2a90b7 |         30 |                68.27
 \x7f7873959e0f41f08e6c9929faa234d6 |         30 |                68.53
 \x49894ea107db4ca88671624fc41e0e32 |         30 |                68.80
 \x8d2180022224486f9e263cfc1048f3ee |         30 |                69.77
 \xfa35d7f52dc4485bb9f2e92c9484c238 |         30 |                70.00
 \x6bab5e130d6b410bbf48dfe913873d71 |         30 |                70.47
 \xd635cc9527694f6e944363d65c693acd |         30 |                70.57
 \xd691fd71077943a0a3c8ee3b2bdb15de |         30 |                70.83
 \xdec415be4c2a49abbccc67e7d96fee65 |         30 |                70.97
 \xe6df5d82c1674fac9d386fd59b954162 |         30 |                71.40
 \x579fef7880824e5fbbbf964a2d7d60df |         30 |                71.60
 \x4582a9c016a449edbb8f1e54991bc7a4 |         30 |                72.43
 \x996d043710274a62a8ea2490560804f4 |         30 |                73.00
 \x64ac8899cafa472d926a72a924d23c38 |         30 |                73.10
 \x078848c6e7bb4d1ba207e5cd715e4184 |         30 |                73.30
 \xe60d7d19febb44d3adcf4118df1a3726 |         30 |                73.77
 \x821c0dddb1104f43bc55323df13d1b4e |         30 |                76.23
 \x9ab94cead4ec49359db8201d0264235c |         30 |                77.27
 \x228ffb1e4f094c03b22b6672dc593bab |         30 |                77.73
 \x1e3f07bb51e2497eb40c51fe3f6e9fba |         30 |                81.53
 \xa58b65ed09fd4237a28a3f19c33784c7 |         30 |                81.77
 \xa9d564d11e0846f398616b9128ca98dd |         30 |                84.70
 \xf45baa08c78948b0a363476444da8f50 |         30 |                85.03
 \x8b0b3da1c7d0407ba4416db42cae1a80 |         30 |                85.30
 \x16b5706db1344922835df1c809e4470d |         30 |                85.63
 \xf6e14c50f910470a8027b6b242c0ae4c |         30 |                86.40
 \x7901352e26c04eb8aab22735051eef69 |         30 |                87.17
 \xdbedbf0918e84d159f039bb278463318 |         30 |                87.70
 \x6767dac941f340c9a1d837b1c1baa0a4 |         30 |                87.77
 \xb9be11e91dcf4de08058ea9cea43f713 |         30 |                88.47
 \x3adee8888b854b29a37e4065ecdcb830 |         30 |                88.60
 \xe0db739af0914b82bbf9bf3d992cac4e |         30 |                91.83
 \x8d41c3ebc29f4338abf32920419cecde |         30 |                93.33
 \xce9cf8fc4efa41099c2c260285d8cc6a |         30 |               118.53
 \xfac6c0a88c6d4858bade460f31eebe6c |         30 |               133.27
 \xdfd5d6f48863469a8bb8f2b77cc691b5 |         30 |               133.87
 \x003b8fe24ae04382a2da418b22ba1619 |         30 |               145.63
 \xc5fadd06501e4824ac6c4ed18b87a7b7 |         29 |                27.07
 \x576c4ea6fd4b41b997bb019282f9ed98 |         29 |                34.00
 \xdbd20074eb264160ba347d12ee4ec7d3 |         29 |                34.79
 \xe50cce208a0c44c9af0a7fa0ad23c9d7 |         29 |                36.48
 \x92cb1d7bedfb43b5bda8fd971726fcf3 |         29 |                38.76
 \xa1e5da42a1e04373989679cfaa54c175 |         29 |                40.41
 \xe883afaad23a419994229b6f792f0149 |         29 |                40.76
 \x41600faf4117498e8a68d97509a8fae9 |         29 |                41.34
 \x92be300b05a746c98015af10013d6f66 |         29 |                42.21
 \xf7bbf4e8b1f24843946c53348a0a7fe6 |         29 |                43.48
 \xf0a04cca704c4d21b849d9d3d98fce6c |         29 |                43.55
 \x53ba057182f14989bc5f6e3cb4e79311 |         29 |                44.21
 \xc89b0158834c4e51959679d0671df021 |         29 |                45.59
 \xd6d03e3b46bb4db1ac42b3e2da4cd6c0 |         29 |                45.72
 \x389df0a3aa344a1ea835533d3dceaf1e |         29 |                46.45
 \xfdb88dbc46364bdc9ae154886193347e |         29 |                47.17
 \xb9667cf903f24178a2abf636c74c478b |         29 |                48.38
 \x02300768a29c41dca6f5a22029cafbfd |         29 |                49.48
 \x4f0a9b3c387b479fb457a08291ebc536 |         29 |                49.66
 \x70fdbf915f85414b83f516b86b2b276e |         29 |                50.38
 \x8d8c3540dae64ce1b5eb14ce3bd21742 |         29 |                50.45
 \x48a0cfd568b341b09a49e71a6fa01124 |         29 |                50.52
 \x44152a60848e45ccbc00c1581b483ebe |         29 |                50.90
 \x3c14dc64c9f844fbbeaa5ca6a6a17057 |         29 |                51.79
 \x359b5efaedae40f19479f700e2a20bb9 |         29 |                52.03
 \x9efed41f83624120802f5b4409ea49dd |         29 |                52.07
 \xb3ea7991093c4b2cb6138a070c72e7d0 |         29 |                52.69
 \x41ca2b5b2e864438b1cf46dedaba4e34 |         29 |                53.28
 \x97ad24f0473e4a59ab4eb98a63714f0b |         29 |                53.59
 \x4e47e375a64e496788eea0be2111b0e1 |         29 |                54.17
 \x48c2f231c2ba43c69ddee7da8840127a |         29 |                54.38
 \x4e90130e79234b328e5754ae30b10a1c |         29 |                54.72
 \xdcd08e7a0d754d9fb1acde05ba6c8217 |         29 |                55.45
 \x115c94c8efbf428091ec6ef16da84d63 |         29 |                55.48
 \xbb659f9ce4944367b01593b9d7ab6975 |         29 |                55.79
 \x2117a29b77184c39baab21a347659640 |         29 |                56.14
 \xf1b54f89e4d1473ca37b5a7f9c80201b |         29 |                56.52
 \x9858ec4250e44cd681897dff7bc878ee |         29 |                56.59
 \xe2a15eb7854e490b951d9ffe6a062ffc |         29 |                56.66
 \x388ee567fbda4f50aee0507b91793630 |         29 |                56.79
 \xf5f0cefa6b63477caeb667d2fc21c09e |         29 |                57.00
 \x050980dbcc334a86806da1ac1841c6e2 |         29 |                57.21
 \x93edf34679c444778e0378e43da100ff |         29 |                57.24
 \x5f5fc62b986b46498daf8beb3db44f3a |         29 |                57.34
 \x392d1d5d168c44b3a564d91889040f74 |         29 |                57.66
 \xeeba510ae2a242f080f9ee19e1ea5e1e |         29 |                57.97
 \x185a6dfef98f4324b5f1f62df60028fd |         29 |                58.52
 \x01c3458ceda34c09a58866d00737bd15 |         29 |                58.55
 \x8f8dbb698d504482b47cdd84addba6cf |         29 |                58.59
 \x9d0e0cc9b1e343f498a6705ddfe6e58b |         29 |                58.59
 \xaf0fe127c7f341248c647c184059397e |         29 |                58.76
 \x81b5e519cec94cb4bbeecaa0fa398526 |         29 |                58.93
 \x3531dd2ae6894d35a31fb1a8af6e7b60 |         29 |                59.10
 \x0ec7c19ff46b4827b904c582bfc04d44 |         29 |                59.14
 \x08aeab827ac8453aa93b9fd26fe2f3f9 |         29 |                59.41
 \xab5e917b588c4c06bd799c4e219352b5 |         29 |                59.52
 \x981ef48499dc483fabd9e705878b06c7 |         29 |                59.59
 \x68c703968bc94a94aa39496b425fbdb9 |         29 |                59.76
 \xe8f0d8a41c89447299a6e2a64a68d328 |         29 |                59.79
 \xe66c4c4402a946b3a9fd56451d232549 |         29 |                59.90
 \xb2c65cb0e9b84c088eab74a2f82004ab |         29 |                59.90
 \x5774d73653f443568127f80563f16235 |         29 |                60.03
 \xae47d3c666754ee29c0070c2e54e5ee8 |         29 |                60.14
 \x5fa75c5b0a9843e9b8de50c89f38b871 |         29 |                60.41
 \x32ed29b8d146419ab14fade331a84d87 |         29 |                60.45
 \xea336a7299b9436eaa1760ac09ac5350 |         29 |                60.52
 \x49cdccadb83d4bf69c2ab938e195a685 |         29 |                60.55
 \x546eaf6e8c764e7cafcbffafd9b3f09c |         29 |                60.55
 \xea1e40d2584b42dcad769a2e141f5368 |         29 |                60.93
 \xafe65275413e4e2b9ca3ce18ae8e4754 |         29 |                61.14
 \x210364ab90a74662b472737c465e39d0 |         29 |                61.72
 \xcbb5f5f3ce2f41fc802710fcec0b201a |         29 |                61.97
 \x315e7816bd874e969cc78b0265feacb1 |         29 |                62.24
 \x2c86cb423d2045a5a3ebab409cc938f8 |         29 |                62.52
 \xb57a199c3329499c80eeea02909400a6 |         29 |                62.72
 \xbad8985f6c914279be63c9208ff1d85f |         29 |                62.79
 \xc8aa8ccc7d934ec18e398d0f062f1dcf |         29 |                63.21
 \xd9f57dcabcb44539b9746405e69c2297 |         29 |                63.62
 \x1b71fa5aa80d4a74bc621a1fc68d050e |         29 |                63.66
 \x75d545e381ca4c6b87c7de741fde4a13 |         29 |                64.00
 \x1508a6567ee84cb491adb320e4ee9ec2 |         29 |                64.07
 \xe1f49660b1b74f84bd9716434ed654be |         29 |                64.07
 \xc44c7545ecad4eefa7a98e5c999772a9 |         29 |                64.45
 \x4a5f1911a5ff4dda8b4dbf089c3a451f |         29 |                64.45
 \x64841b9e2e0d4cfdbd28c9bbfadc621c |         29 |                64.55
 \xb67ee9ed55c9432aab810d5369f69d80 |         29 |                64.83
 \xbf756634282e4262a8cae0d5afa9c27b |         29 |                65.07
 \x6abb2bb18848496da7ad2c523e1b6916 |         29 |                65.10
 \x73b7255b51674fadbaceae8ef69e3b2f |         29 |                65.14
 \xce1e111ef86b46c48e96cc95e19b6813 |         29 |                65.41
 \x443471b6e80c4259b9be4397dddab7c4 |         29 |                65.48
 \x9ec1b81bae444ab7816f30e1c4dd6c7b |         29 |                65.86
 \x8fe79e24c73f49debcbad616ceee271e |         29 |                65.93
 \x626811f08ec54685b753d7836bf81875 |         29 |                66.07
 \x99e6765253cb4758aa7d88068334133c |         29 |                66.34
 \xfe2261cd840c46159c42e54f9d9151f4 |         29 |                66.48
 \xbaf5f15a142b4dd38a30b2769fb3134c |         29 |                66.55
 \xc10c55a621ac49b0a2ec3d9de5cc670c |         29 |                66.72
 \x6e36986e616a4b409eba8e29284c738f |         29 |                66.72
 \x89752de8ccdc4c0abd32a1e963768407 |         29 |                67.52
 \x28ffe98d423f4dbc8afc21e461181820 |         29 |                67.52
 \x2e98c5b7c69a4f80b992f4b77dc4f08e |         29 |                67.55
 \x5be66194f5c14586adf9fc6d5e679c1d |         29 |                67.59
 \x737a8cf9dc354ff2862837aec3f9a1da |         29 |                67.66
 \x9b18c2c7da374c3aa9b9869c17c78cd9 |         29 |                67.69
 \xba357696da4e46beb6b0a06ca4ed3ad3 |         29 |                67.93
 \x8af2237d40f347be96eb298687e5ae0b |         29 |                68.14
 \xc77c19716ae549b2880e4fb6090e86dd |         29 |                68.17
 \x9952727584cf49a3b15eac02f3be4c02 |         29 |                68.24
 \xce7cdd49d7b7432ba8df99e0023d005a |         29 |                68.41
 \xdc0a2ea30fc24f1787ac8a2177cd950c |         29 |                68.69
 \xda69ecceb8b34a94987ac8e284f997ff |         29 |                68.72
 \x215a0d502a5b4e1086d20b68b175da3b |         29 |                68.86
 \x18f700bb7c75487fa2a93b0cee770815 |         29 |                68.97
 \x678e306ee5fc4779a10f38e48d415cc8 |         29 |                69.07
 \x712b168e246441e8bf315998cb22bacd |         29 |                69.10
 \xf24f37e2763f42a191237bf3226ebb4e |         29 |                69.24
 \xe08d5329ffa14f698785f12b29b92041 |         29 |                69.28
 \x982d7da3a03a43e39e818afbe4780647 |         29 |                69.28
 \xd6eb1cf696ea4fdba41f3e76232bc455 |         29 |                69.41
 \xbdb16c3f15c54fcebb21149e9dfe9802 |         29 |                69.45
 \xf7e743b3e31448c8a8b0ec428e52d1a5 |         29 |                69.69
 \x990c0191188940f0b95d8424763f0eb0 |         29 |                69.97
 \x2d40bc7114d24bedac6c03551fa9709e |         29 |                70.21
 \xe1ed5cfe77154d41b817b78f59ad2442 |         29 |                70.21
 \x817b9a5971604f6a8bfaefbfb2068517 |         29 |                70.28
 \xe26d2640b8964ad6bdddfd4f2ee267f9 |         29 |                70.41
 \x27bfc837765e4e7492c86b222915f571 |         29 |                70.69
 \xc38c84f41eb8408d948a89e3d2be2841 |         29 |                70.86
 \x4a71102f7b414596a660a5da36c8d5be |         29 |                70.86
 \xa0cc6b88744c4766b739659f25c8faca |         29 |                71.07
 \x83cf68db060b46ce8cba00efb87054d4 |         29 |                71.72
 \xff675fd90f4f46738c34f7fd81ec8587 |         29 |                71.83
 \x5e9f4ff6f84c482f90ee314e2db5ec3d |         29 |                72.34
 \xa15ecbfbe9884b9189aee08f4047aa5b |         29 |                72.34
 \x29ccf2d0e9a94fc4abd014d5c3594a93 |         29 |                72.55
 \x6f8ebd9cc3a1422a8816501fa5db230d |         29 |                72.72
 \xdef84649d8414641979ea92a92254d10 |         29 |                72.83
 \x9ee31af5f6e447aa929ed5d5c4854cd2 |         29 |                72.90
 \x98dd4a61c8d2459f9a6c345df308283c |         29 |                73.03
 \x33b5fef6a84b4af2a92b9f1eb1fa7101 |         29 |                73.10
 \x77f5221e43264d9eb965f5f97d1d09a7 |         29 |                73.62
 \xb84c7488e32044719b1ce95a4e42b439 |         29 |                74.34
 \xdac68f84305049a6b342003eb0140a82 |         29 |                74.69
 \x7d4fc736f4624df3bffcf7aa56fd4150 |         29 |                74.72
 \x91c2cbe37f234798803a1de79b581b12 |         29 |                74.86
 \xbb7c425131b44ce3b683a3597b6d819d |         29 |                75.10
 \xcdc63684f0424688b1c52748d9cc20de |         29 |                75.17
 \xc717c006338945e3b0c50c51e0fc91f7 |         29 |                75.21
 \x7ddec7b410964bd0a9774fca7e00aab0 |         29 |                75.31
 \x3f15611fbdb74787bac1a02293589388 |         29 |                76.21
 \x50469c8589334e6cb6a2671cfcf4b17b |         29 |                76.76
 \xf534780cc4d747f398ed474eaaae87c9 |         29 |                76.86
 \xd4269fcb8f314dd88c109eb4e963d1c2 |         29 |                76.90
 \x0d715be56a074e28a0df7ef542ebdb17 |         29 |                77.17
 \xe10c075dcaa3497f97c90cb76e539177 |         29 |                77.21
 \x07518109d35d4eb89438b9e976200727 |         29 |                77.24
 \x8be2f77808734129894fe05787d38d2b |         29 |                77.28
 \x3c97523719cb4a1497bbc0c51053d9eb |         29 |                77.34
 \x91e148d66dce48958ebf8a45e7b121b5 |         29 |                78.21
 \x34246e1378244bc78be6118bfac92a52 |         29 |                78.24
 \xedf2ca0110924de7a13aa092b341b5df |         29 |                78.55
 \xce5c1275000747cbab07fc0fa8acec9c |         29 |                78.72
 \xe6a7693714f249828a48ce5452074ed0 |         29 |                78.79
 \xb5b304f57f67415d9c91f7960689d7fa |         29 |                79.93
 \xcc66fde090154f1e835b4a3b5949aad4 |         29 |                80.07
 \xf806979c83394f43806dd23e6b1750d5 |         29 |                80.17
 \xa5b7aad70818431e8bb23758b6e5a53b |         29 |                80.52
 \x415eee156f3146e4bbc256f8812d9919 |         29 |                80.76
 \x8282d1f34f994dda87b77e30afbcf5a5 |         29 |                81.55
 \xe8adbec1da21436e8c6f5b57575ff527 |         29 |                81.62
 \xc0d4bb15cfa44ba79a1ead1a2e5b8aef |         29 |                81.90
 \xb5de23dfeb894a06aafb4992e6d8131d |         29 |                82.38
 \x2234ae4dc4c44c8ab3a1ecb9dceb80a0 |         29 |                82.52
 \x99d357c088774a85a0cd00e65aad0fd7 |         29 |                82.66
 \x4986663d5a0f4689a76906ca6fbd8713 |         29 |                83.00
 \x82cb751f69c544d38f29190a68566cd7 |         29 |                83.17
 \xcd2a955bfad04bf1b642db266379188c |         29 |                84.00
 \xd4789048f9584f209bc5d55996fd7be0 |         29 |                84.21
 
(row cap for GitHub limit)
